p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene	ensembl_gene_id	entrezgene_id	wikigene_description	ontology term	ontology description	ontology level
5.40E-23	-0.390548655	0.475	0.542	1.74E-18	Csnk2b	ENSMUSG00000024387	13001	"casein kinase 2, beta polypeptide"	protein kinase regulator activity	"Modulates the activity of a protein kinase, an enzyme which phosphorylates a protein."	molecular_function
6.79E-23	0.357086817	0.672	0.616	2.19E-18	Stat1	ENSMUSG00000026104	20846	signal transducer and activator of transcription 1	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
6.83E-23	0.61613431	0.257	0.187	2.20E-18	Nfya	ENSMUSG00000023994	18044	nuclear transcription factor-Y alpha	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
7.06E-23	0.617395913	0.333	0.259	2.28E-18	Gm2629	ENSMUSG00000117613	NA				
8.47E-23	0.314296242	0.732	0.689	2.74E-18	Pdia3	ENSMUSG00000027248	14827	protein disulfide isomerase associated 3	protein disulfide isomerase activity	Catalysis of the rearrangement of both intrachain and interchain disulfide bonds in proteins.	molecular_function
8.63E-23	0.46832901	0.465	0.388	2.79E-18	Nrp1	ENSMUSG00000025810	18186	neuropilin 1			
1.12E-22	-0.33539457	0.706	0.744	3.63E-18	Prdx5	ENSMUSG00000024953	54683	peroxiredoxin 5			
1.22E-22	-0.29344458	0.718	0.774	3.95E-18	Hmgb2	ENSMUSG00000054717	97165	high mobility group box 2	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
1.52E-22	0.476273797	0.435	0.362	4.91E-18	Sdf2l1	ENSMUSG00000022769	64136	stromal cell-derived factor 2-like 1	regulation of apoptotic process	Any process that modulates the occurrence or rate of cell death by apoptotic process.	biological_process
1.68E-22	0.45181413	0.556	0.489	5.41E-18	Chd9	ENSMUSG00000056608	109151	chromodomain helicase DNA binding protein 9	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
2.78E-22	0.474757061	0.422	0.342	8.97E-18	Dnmt3a	ENSMUSG00000020661	13435	DNA methyltransferase 3A			
3.40E-22	0.555422459	0.376	0.301	1.10E-17	Immp2l	ENSMUSG00000056899	93757	IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
3.66E-22	0.359924441	0.518	0.443	1.18E-17	Cd81	ENSMUSG00000037706	12520	CD81 antigen	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
4.77E-22	-0.348974279	0.56	0.616	1.54E-17	S100a13	ENSMUSG00000042312	20196	S100 calcium binding protein A13			
5.36E-22	-0.331880139	0.505	0.566	1.73E-17	Ndufa8	ENSMUSG00000026895	68375	NADH:ubiquinone oxidoreductase subunit A8	"mitochondrial electron transport, NADH to ubiquinone"	The transfer of electrons from NADH to ubiquinone that occurs during oxidative phosphorylation.	biological_process
6.52E-22	-0.255865178	0.629	0.686	2.11E-17	Sri	ENSMUSG00000003161	109552	sorcin	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
6.99E-22	0.47265002	0.496	0.426	2.26E-17	Parp8	ENSMUSG00000021725	52552	"poly (ADP-ribose) polymerase family, member 8"	NAD+ ADP-ribosyltransferase activity	Catalysis of the reaction: NAD+ + (ADP-D-ribosyl)(n)-acceptor = nicotinamide + (ADP-D-ribosyl)(n+1)-acceptor.	molecular_function
8.36E-22	-0.2780896	0.631	0.67	2.70E-17	Ndufc2	ENSMUSG00000030647	68197	NADH:ubiquinone oxidoreductase subunit C2	mitochondrial inner membrane	"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."	cellular_component
9.30E-22	0.272286836	0.624	0.55	3.00E-17	Eif4a2	ENSMUSG00000022884	13682	eukaryotic translation initiation factor 4A2	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.18E-21	0.48672483	0.27	0.198	3.82E-17	Magi1	ENSMUSG00000045095	14924	"membrane associated guanylate kinase, WW and PDZ domain containing 1"	protein binding	Binding to a protein.	molecular_function
1.20E-21	-0.262980649	0.707	0.744	3.87E-17	Arpp19	ENSMUSG00000007656	59046	cAMP-regulated phosphoprotein 19	cytoplasm	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."	cellular_component
1.20E-21	-0.475016659	0.563	0.623	3.87E-17	Cstb	ENSMUSG00000005054	13014	cystatin B	cysteine-type endopeptidase inhibitor activity	"Binds to and stops, prevents or reduces the activity of a cysteine-type endopeptidase."	molecular_function
1.23E-21	-0.298821094	0.486	0.581	3.98E-17	S100a10	ENSMUSG00000041959	20194	S100 calcium binding protein A10 (calpactin)	calcium ion binding	Binding to a calcium ion (Ca2+).	molecular_function
1.74E-21	0.462242	0.406	0.326	5.63E-17	St3gal6	ENSMUSG00000022747	54613	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"	protein glycosylation	"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."	biological_process
1.77E-21	0.558304238	0.413	0.34	5.72E-17	Specc1	ENSMUSG00000042331	432572	sperm antigen with calponin homology and coiled-coil domains 1			
2.14E-21	0.545398954	0.361	0.29	6.90E-17	Lhfpl2	ENSMUSG00000045312	218454	lipoma HMGIC fusion partner-like 2	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
2.19E-21	-0.260048747	0.716	0.743	7.07E-17	Vamp8	ENSMUSG00000050732	22320	vesicle-associated membrane protein 8	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
2.88E-21	-0.37830332	0.447	0.511	9.30E-17	Ndufv2	ENSMUSG00000024099	72900	NADH:ubiquinone oxidoreductase core subunit V2	oxidoreductase activity	"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."	molecular_function
3.16E-21	0.392385536	0.473	0.401	1.02E-16	Rps6ka1	ENSMUSG00000003644	20111	ribosomal protein S6 kinase polypeptide 1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
3.63E-21	0.433058456	0.319	0.243	1.17E-16	Ppard	ENSMUSG00000002250	19015	peroxisome proliferator activator receptor delta	DNA binding	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function
3.93E-21	0.296024103	0.673	0.616	1.27E-16	Arhgap45	ENSMUSG00000035697	70719	Rho GTPase activating protein 45	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	biological_process
4.78E-21	-0.482475072	0.347	0.42	1.54E-16	Polr2i	ENSMUSG00000019738	69920	polymerase (RNA) II (DNA directed) polypeptide I	zinc ion binding	Binding to a zinc ion (Zn).	molecular_function
5.28E-21	0.513063665	0.272	0.202	1.70E-16	Rgl2	ENSMUSG00000041354	19732	ral guanine nucleotide dissociation stimulator-like 2			
6.09E-21	-0.316587362	0.518	0.578	1.97E-16	Mrpl30	ENSMUSG00000026087	107734	mitochondrial ribosomal protein L30	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
8.59E-21	0.493212591	0.362	0.286	2.77E-16	Tsix	ENSMUSG00000085715	22097	"X (inactive)-specific transcript, opposite strand"	transcription initiation-coupled chromatin remodeling	"An epigenetic mechanism of regulation of gene expression that involves chromatin remodeling to capacitate gene expression by either modifying the chromatin fiber, the nucleosomal histones, or the DNA."	biological_process
9.27E-21	-0.509185377	0.247	0.32	2.99E-16	Hscb	ENSMUSG00000043510	100900	HscB iron-sulfur cluster co-chaperone	protein-folding chaperone binding	"Binding to a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport."	molecular_function
1.20E-20	0.40091744	0.342	0.263	3.87E-16	Phyhd1	ENSMUSG00000079484	227696	phytanoyl-CoA dioxygenase domain containing 1	cellular_component	"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex)."	cellular_component
1.25E-20	0.564860933	0.537	0.493	4.03E-16	Cx3cr1	ENSMUSG00000052336	13051	C-X3-C motif chemokine receptor 1	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	molecular_function
1.45E-20	0.63345994	0.381	0.312	4.69E-16	Pmaip1	ENSMUSG00000024521	58801	phorbol-12-myristate-13-acetate-induced protein 1	apoptotic process	"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."	biological_process
1.46E-20	-0.287452724	0.615	0.669	4.72E-16	Lamtor4	ENSMUSG00000050552	66096	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4"	Ragulator complex	"A vacuolar membrane-anchored guanine nucleotide exchange factor (GEF) complex for the Rag GTPases (Gtr1-Gtr2 GTPase complex GO:1990131) in TORC1 signaling pathway. In human, Ragulator is comprised of the membrane anchor subunit LAMTOR1 (Meh1p in S. cerevisiae, Lam1 in S. pombe), a GEF subunit LAMTOR2 ( Slm4 in S. cerevisiae , Lam2 in S. pombe ) , LAMTOR3 (no S. cerevisiae ortholog identified, Lam3 in S. pombe) , LAMTOR4 (no S. cerevisiae ortholog identified, Lam4 in S. pombe), and LAMTOR5 (no S. cerevisiae or S. pombe ortholog identified)."	cellular_component
1.70E-20	-0.418568775	0.483	0.545	5.48E-16	H2afv	NA	NA	NA	NA	NA	NA
1.84E-20	-0.290115585	0.61	0.658	5.95E-16	Psmb3	ENSMUSG00000069744	26446	"proteasome (prosome, macropain) subunit, beta type 3"	proteolysis involved in protein catabolic process	The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells.	biological_process
2.17E-20	0.358733284	0.408	0.33	7.00E-16	Akap8l	ENSMUSG00000002625	54194	A kinase anchor protein 8-like			
2.32E-20	-0.256667252	0.69	0.726	7.49E-16	Uqcr11	ENSMUSG00000020163	66594	"ubiquinol-cytochrome c reductase, complex III subunit XI"			
2.48E-20	-0.256213485	0.64	0.693	8.00E-16	Bola2	ENSMUSG00000047721	66162	bolA family member 2			
2.78E-20	-0.267429248	0.648	0.696	8.96E-16	Ndufb11	ENSMUSG00000031059	104130	NADH:ubiquinone oxidoreductase subunit B11	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
2.91E-20	0.47378606	0.301	0.23	9.39E-16	Sec14l1	ENSMUSG00000020823	74136	SEC14-like lipid binding 1			
3.13E-20	0.348555921	0.398	0.319	1.01E-15	Rasal3	ENSMUSG00000052142	320484	RAS protein activator like 3	regulation of GTPase activity	Any process that modulates the rate of GTP hydrolysis by a GTPase.	biological_process
4.17E-20	0.30581277	0.745	0.7	1.34E-15	Ier5	ENSMUSG00000056708	15939	immediate early response 5	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
4.22E-20	-0.280031732	0.541	0.606	1.36E-15	Emp3	ENSMUSG00000040212	13732	epithelial membrane protein 3	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
4.23E-20	0.476226641	0.316	0.243	1.37E-15	Cd72	ENSMUSG00000028459	12517	CD72 antigen	plasma membrane	The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.	cellular_component
4.46E-20	-0.347833252	0.535	0.593	1.44E-15	Pold4	ENSMUSG00000024854	69745	"polymerase (DNA-directed), delta 4"	DNA replication	"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by the origin recognition complex, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA."	biological_process
4.83E-20	0.450427615	0.436	0.363	1.56E-15	Gpr34	ENSMUSG00000040229	23890	G protein-coupled receptor 34	G protein-coupled receptor activity	Combining with an extracellular signal and transmitting the signal across the membrane by activating an associated G-protein; promotes the exchange of GDP for GTP on the alpha subunit of a heterotrimeric G-protein complex.	molecular_function
6.08E-20	-0.451308934	0.288	0.361	1.96E-15	Snhg3	ENSMUSG00000085241	399101	small nucleolar RNA host gene 3			
7.77E-20	0.631098604	0.521	0.462	2.51E-15	Klf2	ENSMUSG00000055148	16598	Kruppel-like transcription factor 2 (lung)	in utero embryonic development	"The process whose specific outcome is the progression of the embryo in the uterus over time, from formation of the zygote in the oviduct, to birth. An example of this process is found in Mus musculus."	biological_process
8.09E-20	0.393768109	0.66	0.61	2.61E-15	Lrch1	ENSMUSG00000068015	380916	leucine-rich repeats and calponin homology (CH) domain containing 1	protein binding	Binding to a protein.	molecular_function
8.99E-20	-0.363546227	0.466	0.533	2.90E-15	Capg	ENSMUSG00000056737	12332	"capping actin protein, gelsolin like"	actin filament binding	"Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."	molecular_function
9.35E-20	0.467249438	0.618	0.566	3.02E-15	Srgap2	ENSMUSG00000026425	14270	SLIT-ROBO Rho GTPase activating protein 2	protein binding	Binding to a protein.	molecular_function
9.37E-20	-0.326317267	0.445	0.52	3.03E-15	Bcl2a1d	ENSMUSG00000099974	12047	B cell leukemia/lymphoma 2 related protein A1d	regulation of apoptotic process	Any process that modulates the occurrence or rate of cell death by apoptotic process.	biological_process
1.25E-19	-0.641670703	0.23	0.298	4.02E-15	Sdhaf1	ENSMUSG00000074211	68332	succinate dehydrogenase complex assembly factor 1	mitochondrial respiratory chain complex II assembly	"The aggregation, arrangement and bonding together of a set of components to form respiratory chain complex II, in the mitochondrial inner membrane."	biological_process
1.26E-19	-0.379798117	0.24	0.317	4.08E-15	Dapk1	ENSMUSG00000021559	69635	death associated protein kinase 1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
1.26E-19	-0.301360845	0.542	0.597	4.08E-15	Tmem167	ENSMUSG00000012422	66074	transmembrane protein 167	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
1.89E-19	0.944187394	0.273	0.206	6.10E-15	Hbb-bs	ENSMUSG00000052305	15129	"hemoglobin, beta adult major chain"	heme binding	"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring."	molecular_function
3.32E-19	0.626532788	0.273	0.209	1.07E-14	0610040J01Rik	ENSMUSG00000060512	76261	RIKEN cDNA 0610040J01 gene	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
3.36E-19	0.395156456	0.469	0.396	1.08E-14	Atf7ip	ENSMUSG00000030213	54343	activating transcription factor 7 interacting protein			
4.65E-19	-0.271159806	0.567	0.624	1.50E-14	Spcs1	ENSMUSG00000021917	69019	signal peptidase complex subunit 1 homolog (S. cerevisiae)	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
4.84E-19	0.478975321	0.303	0.235	1.56E-14	Spint1	ENSMUSG00000027315	20732	"serine protease inhibitor, Kunitz type 1"	protein binding	Binding to a protein.	molecular_function
5.67E-19	0.301015972	0.592	0.521	1.83E-14	Retreg1	ENSMUSG00000022270	66270	reticulophagy regulator 1	reticulophagy	"The selective autohagy process in which parts of the endoplasmic reticulum are loaded into autophagosomes, delivered to the vacuole, and degraded in response to changing cellular conditions."	biological_process
6.11E-19	0.441061795	0.398	0.33	1.97E-14	Cacybp	ENSMUSG00000014226	12301	calcyclin binding protein	tubulin binding	"Binding to monomeric or multimeric forms of tubulin, including microtubules."	molecular_function
6.27E-19	0.5010902	0.292	0.225	2.03E-14	Plxnb2	ENSMUSG00000036606	140570	plexin B2			
6.33E-19	0.401486977	0.379	0.304	2.04E-14	Ttc28	ENSMUSG00000033209	209683	tetratricopeptide repeat domain 28	protein binding	Binding to a protein.	molecular_function
7.07E-19	-0.295983349	0.557	0.613	2.28E-14	Esd	ENSMUSG00000021996	13885	esterase D/formylglutathione hydrolase	formaldehyde catabolic process	"The chemical reactions and pathways resulting in the breakdown of formaldehyde (methanal, H2C=O), the simplest aldehyde."	biological_process
8.35E-19	-0.291927847	0.628	0.67	2.70E-14	Mpc1	ENSMUSG00000023861	55951	mitochondrial pyruvate carrier 1	mitochondrial inner membrane	"The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."	cellular_component
8.95E-19	-0.313906286	0.44	0.508	2.89E-14	Mrpl54	ENSMUSG00000034932	66047	mitochondrial ribosomal protein L54	mitochondrion	"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."	cellular_component
9.67E-19	0.268444022	0.558	0.484	3.12E-14	Prex1	ENSMUSG00000039621	277360	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"	protein binding	Binding to a protein.	molecular_function
1.14E-18	-0.355664701	0.43	0.492	3.67E-14	Psma6	ENSMUSG00000021024	26443	proteasome subunit alpha 6	"proteasome core complex, alpha-subunit complex"	The proteasome core subcomplex that constitutes the two outer rings of the proteasome core complex. An example of this component is found in Mus musculus.	cellular_component
1.21E-18	0.446011087	0.371	0.301	3.92E-14	Amd1	ENSMUSG00000075232	11702	S-adenosylmethionine decarboxylase 1	adenosylmethionine decarboxylase activity	Catalysis of the reaction: S-adenosyl-L-methionine + H+ = S-adenosylmethioninamine + CO2.	molecular_function
1.33E-18	0.349325209	0.575	0.523	4.29E-14	Marcks	ENSMUSG00000069662	17118	myristoylated alanine rich protein kinase C substrate	calmodulin binding	"Binding to calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states."	molecular_function
1.45E-18	-0.310684262	0.531	0.584	4.68E-14	Txndc17	ENSMUSG00000020803	52700	thioredoxin domain containing 17	protein-disulfide reductase (NAD(P)H) activity	Catalysis of the reaction: protein-dithiol + NAD(P)+ = protein-disulfide + NAD(P)H + H+.	molecular_function
1.93E-18	0.51812885	0.283	0.221	6.22E-14	Stip1	ENSMUSG00000024966	20867	stress-induced phosphoprotein 1	protein binding	Binding to a protein.	molecular_function
1.93E-18	0.364936506	0.542	0.482	6.23E-14	Pdia6	ENSMUSG00000020571	71853	protein disulfide isomerase associated 6			
2.01E-18	0.520956184	0.377	0.313	6.50E-14	Gna12	ENSMUSG00000000149	14673	"guanine nucleotide binding protein, alpha 12"	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	biological_process
2.34E-18	0.380551835	0.505	0.451	7.54E-14	F11r	ENSMUSG00000038235	16456	F11 receptor	cell adhesion	"The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."	biological_process
3.27E-18	0.36061057	0.56	0.493	1.06E-13	Pik3ap1	ENSMUSG00000025017	83490	phosphoinositide-3-kinase adaptor protein 1	signal transduction	"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."	biological_process
3.31E-18	0.47113033	0.388	0.321	1.07E-13	Gm15283	ENSMUSG00000087700	NA				
3.41E-18	-0.370830603	0.44	0.499	1.10E-13	Mrps16	ENSMUSG00000049960	66242	mitochondrial ribosomal protein S16	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
3.82E-18	-0.389423997	0.39	0.452	1.23E-13	Tmem219	ENSMUSG00000060538	68742	transmembrane protein 219			
4.12E-18	0.27967183	0.592	0.518	1.33E-13	Atp8a1	ENSMUSG00000037685	11980	ATPase phospholipid transporting 8A1	ATP binding	"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."	molecular_function
4.13E-18	0.439597865	0.324	0.258	1.33E-13	Fam111a	ENSMUSG00000024691	107373	"family with sequence similarity 111, member A"			
4.43E-18	-0.280649685	0.397	0.481	1.43E-13	Ahnak	ENSMUSG00000069833	66395	AHNAK nucleoprotein	protein binding	Binding to a protein.	molecular_function
4.63E-18	-0.313121605	0.383	0.452	1.49E-13	Fundc2	ENSMUSG00000031198	67391	FUN14 domain containing 2	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
4.74E-18	0.383009403	0.49	0.419	1.53E-13	Traf3	ENSMUSG00000021277	22031	TNF receptor-associated factor 3	protein binding	Binding to a protein.	molecular_function
4.74E-18	-0.38044325	0.362	0.426	1.53E-13	C1d	ENSMUSG00000000581	57316	C1D nuclear receptor co-repressor	protein binding	Binding to a protein.	molecular_function
5.17E-18	0.405777385	0.492	0.426	1.67E-13	Bcl6	ENSMUSG00000022508	12053	B cell leukemia/lymphoma 6	protein binding	Binding to a protein.	molecular_function
6.26E-18	0.465604727	0.286	0.22	2.02E-13	Ptprm	ENSMUSG00000033278	19274	protein tyrosine phosphatase receptor type M	protein binding	Binding to a protein.	molecular_function
6.53E-18	-0.297547336	0.302	0.366	2.11E-13	Msrb1	ENSMUSG00000075705	27361	methionine sulfoxide reductase B1	peptide-methionine (R)-S-oxide reductase activity	Catalysis of the reaction: peptide-L-methionine + H2O + thioredoxin disulfide = peptide-L-methionine (R)-S-oxide + thioredoxin. Can act on oxidized methionine in peptide linkage with specificity for the R enantiomer. Thioredoxin disulfide is the oxidized form of thioredoxin.	molecular_function
6.61E-18	-0.372346859	0.437	0.496	2.13E-13	Kxd1	ENSMUSG00000055553	75620	KxDL motif containing 1	structural constituent of ribosome	The action of a molecule that contributes to the structural integrity of the ribosome.	molecular_function
7.00E-18	0.351015374	0.591	0.537	2.26E-13	Prkcb	ENSMUSG00000052889	18751	"protein kinase C, beta"	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
7.76E-18	0.43928189	0.326	0.259	2.51E-13	Klf3	ENSMUSG00000029178	16599	Kruppel-like transcription factor 3 (basic)	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
8.54E-18	0.460390323	0.338	0.272	2.76E-13	Slc2a1	ENSMUSG00000028645	20525	"solute carrier family 2 (facilitated glucose transporter), member 1"	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
1.07E-17	-0.393728139	0.31	0.38	3.45E-13	Mrpl58	ENSMUSG00000018858	68572	mitochondrial ribosomal protein L58	translation release factor activity	Involved in catalyzing the release of a nascent polypeptide chain from a ribosome.	molecular_function
1.12E-17	0.399475253	0.284	0.218	3.62E-13	Cybc1	ENSMUSG00000039294	217370	cytochrome b 245 chaperone 1	molecular_function	"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs."	molecular_function
1.13E-17	-0.329329881	0.527	0.584	3.66E-13	Snhg1	ENSMUSG00000108414	NA				
1.15E-17	0.568997071	0.328	0.262	3.72E-13	Mtus1	ENSMUSG00000045636	102103	mitochondrial tumor suppressor 1	nucleus	"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."	cellular_component
1.36E-17	-0.491950349	0.281	0.344	4.41E-13	Dctpp1	ENSMUSG00000042462	66422	dCTP pyrophosphatase 1	nucleoside triphosphate diphosphatase activity	Catalysis of the reaction: a nucleoside triphosphate + H2O = a nucleotide + H+ + diphosphate.	molecular_function
1.39E-17	0.354911404	0.581	0.535	4.49E-13	Hexa	ENSMUSG00000025232	15211	hexosaminidase A	carbohydrate metabolic process	"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."	biological_process
1.47E-17	0.497112	0.263	0.201	4.75E-13	Ahsa1	ENSMUSG00000021037	217737	"AHA1, activator of heat shock protein ATPase 1"			
1.51E-17	-0.539558828	0.366	0.423	4.89E-13	Ms4a6c	ENSMUSG00000079419	73656	"membrane-spanning 4-domains, subfamily A, member 6C"	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
1.69E-17	0.296636681	0.569	0.51	5.47E-13	Canx	ENSMUSG00000020368	12330	calnexin	protein binding	Binding to a protein.	molecular_function
1.78E-17	0.399627703	0.37	0.302	5.75E-13	Cmtm6	ENSMUSG00000032434	67213	CKLF-like MARVEL transmembrane domain containing 6			
1.83E-17	-0.546552055	0.276	0.34	5.91E-13	Il18r1	ENSMUSG00000026070	16182	interleukin 18 receptor 1	membrane	A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it.	cellular_component
